id,player_class,type,name,set,text,cost,attack,health,rarity,collectible,flavor,mechanics,dust,play_requirements,race,how_to_earn,how_to_earn_golden,targeting_arrow_text,faction,durability,entourage
AT_070,NEUTRAL,MINION,Skycap'n Kragg,TGT,"Charrrrrge
Costs (1) less for each friendly Pirate.",7,4,6,LEGENDARY,True,What's more boss than riding a parrot with a jawbone for a shoulderpad while wielding a giant hook-lance-thing and wearing a pirate hat?  NOTHING.,['CHARGE'],"[1600, 3200, 400, 1600]",,PIRATE,,,,,,
GVG_046e,HUNTER,ENCHANTMENT,The King,GVG,Increased Attack.,,,,,,,,,,,,,,,,
LOEA09_3a,NEUTRAL,ENCHANTMENT,Famished,LOE,Quite Hungry.,,,,,,,,,,,,,,,,
EX1_246e,SHAMAN,ENCHANTMENT,Hexxed,CORE,This minion has been transformed!,,,,,,,['MORPH'],,,,,,,,,
GVG_109,NEUTRAL,MINION,Mini-Mage,GVG,"Stealth
Spell Damage +1",4,4,1,EPIC,True,He is sometimes found hiding in the treasure chest in the Gurubashi Arena.,['STEALTH'],"[400, 1600, 100, 400]",,,,,,,,
AT_114,NEUTRAL,MINION,Evil Heckler,TGT,Taunt,4,5,4,COMMON,True,"To be honest, heckling is not the most effective form of evil.",['TAUNT'],"[40, 400, 5, 50]",,,,,,,,
TB_MechWar_Minion1,NEUTRAL,MINION,Mech Fan,TB,Taunt,2,1,1,,,,['TAUNT'],,,,,,,,,
OG_272,NEUTRAL,MINION,Twilight Summoner,OG,Deathrattle: Summon a 5/5 Faceless Destroyer.,4,1,1,EPIC,True,"If you strike him down, he shall become more powerful than you can possibly imagine.",['DEATHRATTLE'],"[400, 1600, 100, 400]",,,,,,,,
AT_031,ROGUE,MINION,Cutpurse,TGT,"Whenever this minion attacks a hero, add the Coin to your hand.",2,2,2,RARE,True,He has a giant collection of purses now.  One for every outfit!,,"[100, 800, 20, 100]",,,,,,,,
TB_ClassRandom_Hunter,HUNTER,SPELL,Second Class: Hunter,TB,Add Hunter cards to your deck.,0,,,,,,,,,,,,,,,
CS2_182,NEUTRAL,MINION,Chillwind Yeti,CORE,,4,4,5,COMMON,True,"He always dreamed of coming down from the mountains and opening a noodle shop, but he never got the nerve.",,,,,,Unlocked at Warrior Level 55.,,,,
LOE_019t,NEUTRAL,SPELL,Map to the Golden Monkey,LOE,Shuffle the Golden Monkey into your deck. Draw a card.,2,,,,,,,,,,,,,,,
GVG_064,NEUTRAL,MINION,Puddlestomper,GVG,,2,3,2,COMMON,True,"He pays homage to Morgl, the great murloc oracle! (Who doesn't??)",,"[40, 400, 5, 50]",,MURLOC,,,,,,
GVG_054,WARRIOR,WEAPON,Ogre Warmaul,GVG,50% chance to attack the wrong enemy.,3,4,,COMMON,True,"Simple, misguided, and incredibly dangerous. You know, like most things ogre.",,"[40, 400, 5, 50]",,,,,,,2,
AT_067,WARRIOR,MINION,Magnataur Alpha,TGT,"Also damages the minions next to whomever
he attacks.",4,5,3,EPIC,True,Playing him also gets you into the Magnataur Beta.,,"[400, 1600, 100, 400]",,,,,,,,
LOEA16_24H,NEUTRAL,MINION,Giantfin,LOE,"At the end of your turn, draw 2 cards.",10,10,10,LEGENDARY,,,,,,MURLOC,,,,,,
BRMC_99,NEUTRAL,MINION,Garr,TB,"Whenever this minion takes damage, summon a 2/3 Elemental with Taunt.",5,4,8,LEGENDARY,,,,,,,,,,,,
AT_029,ROGUE,MINION,Buccaneer,TGT,"Whenever you equip a weapon, give it +1 Attack.",1,2,1,COMMON,True,The best part of buccaneering is the pants.,,"[40, 400, 5, 50]",,PIRATE,,,,,,
EX1_610,HUNTER,SPELL,Explosive Trap,EXPERT1,"Secret: When your hero is attacked, deal $2 damage to all enemies.",2,,,COMMON,True,It traps your food AND cooks it for you!,['SECRET'],"[40, 400, 5, 50]",,,,,,,,
EX1_317t,WARLOCK,MINION,Worthless Imp,EXPERT1,<i>You are out of demons! At least there are always imps...</i>,1,1,1,COMMON,,,,"[40, 400, 5, 50]",,DEMON,,,,,,
DS1_175,HUNTER,MINION,Timber Wolf,CORE,Your other Beasts have +1 Attack.,1,1,1,FREE,True,Other beasts totally dig hanging out with timber wolves.,['AURA'],,,BEAST,Unlocked at Level 1.,Unlocked at Level 23.,,,,
CS2_024,MAGE,SPELL,Frostbolt,CORE,Deal $3 damage to a character and Freeze it.,2,,,COMMON,True,"It is customary to yell ""Chill out!"" or ""Freeze!"" or ""Ice ice, baby!"" when you play this card.",['FREEZE'],,{'REQ_TARGET_TO_PLAY': 0},,Unlocked at Level 2.,Unlocked at Level 40.,,,,
EX1_004e,NEUTRAL,ENCHANTMENT,Elune's Grace,EXPERT1,Increased Health.,,,,,,,,,,,,,,,,
OG_292,HUNTER,MINION,Forlorn Stalker,OG,Battlecry: Give all Deathrattle minions in your hand +1/+1.,3,4,2,RARE,True,"He's going to leave the dying up to you, if that's cool.",['BATTLECRY'],"[100, 800, 20, 100]",,,,,,,,
BRM_002,MAGE,MINION,Flamewaker,BRM,"After you cast a spell, deal 2 damage randomly split among all enemies.",3,2,4,RARE,True,"Flamewakers HATE being confused for Flamewalkers. They just wake up fire, they don�t walk on it. Walking on fire is CRAZY.",,,,,"Unlocked in Blackwing Lair, in the Blackrock Mountain adventure.","Crafting unlocked in Blackwing Lair, in the Blackrock Mountain adventure.",,,,
NAX5_03,NEUTRAL,SPELL,Mindpocalypse,NAXX,Both players draw 2 cards and gain a Mana Crystal.,2,,,,,,,,,,,,,,,
EX1_014te,NEUTRAL,ENCHANTMENT,Bananas,EXPERT1,Has +1/+1.,,,,,,,,,,,,,,,,
EX1_411e2,WARRIOR,ENCHANTMENT,Needs Sharpening,EXPERT1,Decreased Attack.,,,,,,,,,,,,,,,,
LOEA16_1H,NEUTRAL,HERO,Rafaam,LOE,,,,30,,,,,,,,,,,,,"['LOEA16_18H', 'LOEA16_19H', 'LOEA16_21H', 'LOEA16_22H', 'LOEA16_23H', 'LOEA16_24H', 'LOEA16_25H', 'LOEA16_26H', 'LOEA16_27H']"
CRED_12,NEUTRAL,MINION,Rachelle Davis,CREDITS,Battlecry: Draw TWO cards. <i>She's not a novice engineer.</i>,2,1,2,LEGENDARY,,,,,,,,,,,,
OG_211,HUNTER,SPELL,Call of the Wild,OG,Summon all three Animal Companions.,9,,,EPIC,True,"""Hello. Misha, Leokk and Huffer aren't here right now, but if you leave a message we'll get back to you right away."" BEEP.",,"[400, 1600, 100, 400]",,,,,,,,
OG_216a,HUNTER,MINION,Spider,OG,,1,1,1,,,,,,,BEAST,,,,,,
TBST_005,NEUTRAL,MINION,OLDPvP Rogue,TB,"Stealth
Regain Stealth when PvP Rogue kills a minion.",3,3,6,,,,['STEALTH'],,,,,,,,,
CS2_189,NEUTRAL,MINION,Elven Archer,CORE,Battlecry: Deal 1 damage.,1,1,1,COMMON,True,Don't bother asking her out on a date.  She'll shoot you down.,['BATTLECRY'],,"{'REQ_NONSELF_TARGET': 0, 'REQ_TARGET_IF_AVAILABLE': 0}",,,Unlocked at Druid Level 57.,Deal 1 damage.,HORDE,,
CS2_boar,NEUTRAL,MINION,Boar,CORE,,1,1,1,COMMON,,,,,,BEAST,,,,,,
OG_072,ROGUE,SPELL,Journey Below,OG,Discover a Deathrattle card.,1,,,RARE,True,Don't stop believing there's something below.,,"[100, 800, 20, 100]",,,,,,,,
NAX11_02,NEUTRAL,HERO_POWER,Poison Cloud,NAXX,"Hero Power
Deal 1 damage to all minions. If any die, summon a slime.",2,,,,,,,,,,,,,,,
FP1_028,NEUTRAL,MINION,Undertaker,NAXX,"Whenever you summon a minion with Deathrattle, gain +1 Attack.",1,1,2,COMMON,True,"In a world where you can run to a spirit healer and resurrect yourself, Undertakers do pretty light business.",,,,,"Unlocked in The Construct Quarter, in the Naxxramas adventure.","Crafting unlocked in The Construct Quarter, in the Naxxramas adventure.",,,,
CS2_104e,WARRIOR,ENCHANTMENT,Rampage,EXPERT1,+3/+3.,,,,,,,,,,,,,,,,
EX1_584e,NEUTRAL,ENCHANTMENT,Teachings of the Kirin Tor,EXPERT1,Spell Damage +1.,,,,,,,,,,,,,,,,
NAX8_04,NEUTRAL,MINION,Unrelenting Warrior,NAXX,Deathrattle: Summon a Spectral Warrior for your opponent.,3,3,4,,,,['DEATHRATTLE'],,,,,,,,,
GVG_092t,NEUTRAL,MINION,Chicken,GVG,,1,1,1,,,,,,,BEAST,,,,,,
PART_006,NEUTRAL,SPELL,Reversing Switch,GVG,Swap a minion's Attack and Health.,1,,,,,,,,"{'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,,,,,,
EX1_178,DRUID,MINION,Ancient of War,EXPERT1,"Choose One -
+5 Attack; or +5 Health and Taunt.",7,5,5,EPIC,True,"Young Night Elves love to play ""Who can get the Ancient of War to Uproot?""  You lose if you get crushed to death.",['CHOOSE_ONE'],"[400, 1600, 100, 400]",,,,,,,,
LOE_092,NEUTRAL,MINION,Arch-Thief Rafaam,LOE,Battlecry: Discover a powerful Artifact.,9,7,8,LEGENDARY,True,He's very good at retrieving artifacts.  From other people's museums.,['BATTLECRY'],,,,"Unlocked in the Hall of Explorers, in the League of Explorers adventure.","Crafting unlocked in the Hall of Explorers, in the League of Explorers adventure.",,,,
BRM_008,ROGUE,MINION,Dark Iron Skulker,BRM,Battlecry: Deal 2 damage to all undamaged enemy minions.,5,4,3,RARE,True,"He loves skulking. He skulks after hours just for the joy of it, but his friends are pretty worried he'll get burnt out.",['BATTLECRY'],,,,"Unlocked in Blackwing Lair, in the Blackrock Mountain adventure.","Crafting unlocked in Blackwing Lair, in the Blackrock Mountain adventure.",,,,
OG_120,MAGE,MINION,Anomalus,OG,Deathrattle: Deal 8 damage to all minions.,8,8,6,LEGENDARY,True,"That's short for ""Anomnomnomnomalus"".",['DEATHRATTLE'],"[1600, 3200, 400, 1600]",,,,,,,,
CS2_080,ROGUE,WEAPON,Assassin's Blade,CORE,,5,3,,COMMON,True,Guaranteed to have been owned by a real assassin.   Certificate of authenticity included.,,,,,Unlocked at Level 2.,Unlocked at Level 32.,,,4,
TB_PickYourFate_8_EnchRand,NEUTRAL,ENCHANTMENT,Fate 8 Rand 2 armor each turn,TB,,,,,,,,,,,,,,,,,
KAR_025a,WARLOCK,MINION,Candle,KARA,,1,1,1,,,,,,,,,,,,,
LOEA02_06,NEUTRAL,SPELL,Wish for More Wishes,LOE,Gain 2 Wishes.,0,,,,,,,,,,,,,,,
LOE_076,NEUTRAL,MINION,Sir Finley Mrrgglton,LOE,Battlecry: Discover a new basic Hero Power.,1,1,3,LEGENDARY,True,"In addition to fluent Common, he also speaks fourteen dialects of 'mrgl'.",['BATTLECRY'],,,MURLOC,"Unlocked in The Ruined City, in the League of Explorers adventure.","Crafting unlocked in The Ruined City, in the League of Explorers adventure.",,,,"['CS2_034', 'DS1h_292', 'CS2_101', 'CS1h_001', 'CS2_102', 'CS2_083b', 'CS2_049', 'CS2_017', 'CS2_056', 'CS2_102_H1', 'CS2_034_H1', 'CS2_101_H1', 'DS1h_292_H1', 'CS2_034_H2', 'CS2_049_H1', 'CS1h_001_H1']"
AT_127,NEUTRAL,MINION,Nexus-Champion Saraad,TGT,Inspire: Add a random spell to your hand.,5,4,5,LEGENDARY,True,"The ethereals have their own jousting tournament, and Saraad is the reigning champion.  Also he won the ethereal hot dog eating contest.",['INSPIRE'],"[1600, 3200, 400, 1600]",,,,,,,,
NAX7_03H,NEUTRAL,HERO_POWER,Unbalancing Strike,NAXX,"Hero Power
Deal 4 damage.",1,,,,,,,,{'REQ_TARGET_TO_PLAY': 0},,,,,,,
HERO_09a,PRIEST,HERO,Tyrande Whisperwind,HERO_SKINS,,,,30,EPIC,True,,,,,,,,,,,
OG_229,PALADIN,MINION,"Ragnaros, Lightlord",OG,"At the end of your turn, restore 8 Health to a damaged friendly character.",8,8,8,LEGENDARY,True,"What happens when you try and corrupt a corrupted firelord? DOUBLE NEGATIVE, INSECT!",,"[1600, 3200, 400, 1600]",,,,,,,,
BRMA14_9,NEUTRAL,MINION,Magmatron,BRM,"Whenever a player plays a card, Magmatron deals 2 damage to them.",5,7,7,LEGENDARY,,,['AURA'],,,MECHANICAL,,,,,,
LOE_012,ROGUE,MINION,Tomb Pillager,LOE,Deathrattle: Add a Coin to your hand.,4,5,4,COMMON,True,"After the guild broke up, he could no longer raid the tombs.",['DEATHRATTLE'],,,,"Unlocked in the Hall of Explorers, in the League of Explorers adventure.","Crafting unlocked in the Hall of Explorers, in the League of Explorers adventure.",,,,
BRMA11_1H,NEUTRAL,HERO,Vaelastrasz the Corrupt,BRM,,,,30,,,,,,,,,,,,,
NEW1_027,NEUTRAL,MINION,Southsea Captain,EXPERT1,Your other Pirates have +1/+1.,3,3,3,EPIC,True,"When he saves enough plunder, he's going to commission an enormous captain's hat.  He has hat envy.",['AURA'],"[400, 1600, 100, 400]",,PIRATE,,,,,,
TB_CoOpv3_011,NEUTRAL,SPELL,Don't Push Me!,TB,He's getting angry....,0,,,,,,,,,,,,,,,
HERO_04a,PALADIN,HERO,Lady Liadrin,HERO_SKINS,,,,30,EPIC,True,,,,,,,,,,,
EX1_320,WARLOCK,SPELL,Bane of Doom,EXPERT1,"Deal $2 damage to a character. If that kills it, summon a random Demon.",5,,,EPIC,True,"My advice to you is to avoid Doom, if possible.",,"[400, 1600, 100, 400]",{'REQ_TARGET_TO_PLAY': 0},,,,,,,
TB_DeckRecipe_MyDeckID,NEUTRAL,ENCHANTMENT,My Deck ID,TB,,,,,,,,,,,,,,,,,
AT_019,WARLOCK,MINION,Dreadsteed,TGT,Deathrattle: Summon a Dreadsteed.,4,1,1,EPIC,True,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",['DEATHRATTLE'],"[400, 1600, 100, 400]",,DEMON,,,,,,
TB_Coopv3_100,NEUTRAL,MINION,Dragonscale Warrior,TB,"Whenever any player targets this minion with a spell, that player draws a card.",3,3,4,,,,,,,,,,,,,
LOEA10_2H,NEUTRAL,HERO_POWER,Mrglmrgl MRGL!,LOE,"Hero Power
Draw 2 cards.",0,,,,,,['AI_MUST_PLAY'],,,,,,,,,
EX1_021,NEUTRAL,MINION,Thrallmar Farseer,EXPERT1,Windfury,3,2,3,COMMON,True,"He's stationed in the Hellfire Peninsula, but he's hoping for a reassignment closer to Orgrimmar, or really anywhere the ground is less on fire.",['WINDFURY'],"[40, 400, 5, 50]",,,,,,HORDE,,
OG_300,NEUTRAL,MINION,The Boogeymonster,OG,"Whenever this attacks and kills a minion, gain +2/+2.",8,6,7,LEGENDARY,True,"Has 20 years of training in classical ballet, but ALLLLLL he ever gets asked to do is boogie.",,"[1600, 3200, 400, 1600]",,,,,,,,
EX1_126,ROGUE,SPELL,Betrayal,EXPERT1,Force an enemy minion to deal its damage to the minions next to it.,2,,,COMMON,True,"Everyone has a price. Gnomes, for example, can be persuaded by stuffed animals and small amounts of chocolate.",,"[40, 400, 5, 50]","{'REQ_ENEMY_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,,,,,,
GVG_073,HUNTER,SPELL,Cobra Shot,GVG,Deal $3 damage to a minion and the enemy hero.,5,,,COMMON,True,"""Cobra Shot"" hurts way, way, way more than ""Cobra Cuddle.""",,"[40, 400, 5, 50]","{'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,,,,,,
OG_042,NEUTRAL,MINION,"Y'Shaarj, Rage Unbound",OG,"At the end of your turn, put a minion from your deck into the battlefield.",10,10,10,LEGENDARY,True,"When he's working out, he binds all that rage back into a ponytail.",,"[1600, 3200, 400, 1600]",,,,,,,,
TB_ClassRandom_Priest,PRIEST,SPELL,Second Class: Priest,TB,Add Priest cards to your deck.,0,,,,,,,,,,,,,,,
KAR_021,SHAMAN,MINION,Wicked Witchdoctor,KARA,"Whenever you cast a spell, summon a random basic�Totem.",4,3,4,COMMON,True,"You can easily defeat her by either dealing 4 damage, or dropping a house on her.",,,,,"Unlocked in the Opera, in One Night in Karazhan.","Crafting unlocked in the Opera, in One Night in Karazhan.",,,,
KARA_13_16,NEUTRAL,MINION,Susie Sizzlesong,TB,"Portals cost (1) less. 
<i>Does not count as a minion.</i>",2,1,2,LEGENDARY,,,,,,,,,,,,
XXX_030,NEUTRAL,SPELL,Opponent Disconnect,CHEAT,Force your opponnet to disconnect.,0,,,COMMON,,,,,,,,,,,,
BRMA01_1,NEUTRAL,HERO,Coren Direbrew,BRM,,,,30,,,,['AI_MUST_PLAY'],,,,,,,,,
EX1_089,NEUTRAL,MINION,Arcane Golem,EXPERT1,Battlecry: Give your opponent a Mana Crystal.,3,4,4,RARE,True,"Having Arcane golems at home really classes up the place, and as a bonus they are great conversation pieces.",['BATTLECRY'],"[100, 800, 20, 100]",,,,,,,,
AT_071e,WARRIOR,ENCHANTMENT,Alexstrasza's Boon,TGT,+1 Attack and Charge.,,,,,,,,,,,,,,,,
GVG_072,PRIEST,MINION,Shadowboxer,GVG,"Whenever a character is healed, deal 1 damage to a random enemy.",2,2,3,RARE,True,"Punching is its primary function. Also, its secondary function.",,"[100, 800, 20, 100]",,MECHANICAL,,,,,,
EX1_533,HUNTER,SPELL,Misdirection,EXPERT1,"Secret: When a character attacks your hero, instead they attack another random character.",2,,,RARE,True,Sometimes it's as simple as putting on a fake mustache and pointing at someone else.,['SECRET'],"[100, 800, 20, 100]",,,,,,,,
LOEA10_5,NEUTRAL,SPELL,Mrgl Mrgl Nyah Nyah,LOE,Summon 3 Murlocs that died this game.,5,,,COMMON,,,,,,,,,,,,
TB_KTRAF_HP_RAF4,NEUTRAL,HERO_POWER,"Staff, Two Pieces",TB,Add a random epic card to your hand. It costs (3) less.,2,,,,,,,,,,,,,,,
KARA_08_03H,NEUTRAL,SPELL,Nether Breath,KARA,"[x]Change the Health of
all enemy minions to 1.",3,,,,,,,,,,,,,,,
GVG_090,NEUTRAL,MINION,Madder Bomber,GVG,Battlecry: Deal 6 damage randomly split between all other characters.,5,5,4,RARE,True,"Dang, Bomber, calm down.",['BATTLECRY'],"[100, 800, 20, 100]",,,,,,,,
XXX_102,NEUTRAL,SPELL,Add 1 to Health.,CHEAT,Adds 1 health to a damaged character. Does NOT heal.,0,,,COMMON,,,['ImmuneToSpellpower'],,{'REQ_TARGET_TO_PLAY': 0},,,,,,,
NEW1_004,ROGUE,SPELL,Vanish,CORE,Return all minions to their owner's hand.,6,,,COMMON,True,,,,,,Unlocked at Level 8.,Unlocked at Level 23.,,,,
GVG_051,WARRIOR,MINION,Warbot,GVG,Enrage: +1 Attack.,1,1,3,COMMON,True,"Mass production of warbots was halted when it was discovered that they were accidentally being produced at ""sample size.""",['ENRAGED'],"[40, 400, 5, 50]",,MECHANICAL,,,,,,
TB_PickYourFate_8rand,NEUTRAL,SPELL,Fate: Armor,TB,Each player gains 2 Armor on the start of their turn.,0,,,,,,,,,,,,,,,
TB_PickYourFate_7_Ench_2nd,NEUTRAL,ENCHANTMENT,Fate 7 Ench 2nd,TB,,,,,,,,,,,,,,,,,
EX1_103e,NEUTRAL,ENCHANTMENT,Mrghlglhal,EXPERT1,+2 Health.,,,,,,,,,,,,,,,,
HERO_07,WARLOCK,HERO,Gul'dan,CORE,,,,30,FREE,True,,,,,,,,,,,
EX1_414,WARRIOR,MINION,Grommash Hellscream,EXPERT1,"Charge
Enrage: +6 Attack",8,4,9,LEGENDARY,True,"Grommash drank the tainted blood of Mannoroth, dooming the orcs to green skin and red eyes!  Maybe not his best decision.","['CHARGE', 'ENRAGED']","[1600, 3200, 400, 1600]",,,,,,,,
CS2_108,WARRIOR,SPELL,Execute,CORE,Destroy a damaged enemy minion.,2,,,FREE,True,"It's okay, he deserved it.",,,"{'REQ_ENEMY_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0, 'REQ_DAMAGED_TARGET': 0, 'REQ_MINION_TARGET': 0}",,Unlocked at Level 1.,Unlocked at Level 47.,,,,
OG_200,NEUTRAL,MINION,Validated Doomsayer,OG,"At the start of your turn, set this minion's Attack to 7.",5,0,7,EPIC,True,Really feels good about himself and is in a much better place now. But� he sure does miss piloting those shredders.,,"[400, 1600, 100, 400]",,,,,,,,
BRM_011,SHAMAN,SPELL,Lava Shock,BRM,"Deal $2 damage.
Unlock your Overloaded Mana Crystals.",2,,,RARE,True,Chocolate lava cake is shockingly delicious.,,,{'REQ_TARGET_TO_PLAY': 0},,"Unlocked in Molten Core, in the Blackrock Mountain adventure.","Crafting unlocked in Molten Core, in the Blackrock Mountain adventure.",,,,
TB_PickYourFate_11rand,NEUTRAL,SPELL,Dire Fate: Murlocs,TB,Turn each minion in play into a 1/1 Murloc.,0,,,,,,,,,,,,,,,
TB_KTRAF_6m,NEUTRAL,MINION,Fallout Slime,TB,Destroy any minion damaged by this minion.,1,2,2,,,,['POISONOUS'],,,,,,,,,
LOEA04_06b,NEUTRAL,SPELL,Walk Across Gingerly,LOE,Take 5 damage.,0,,,,,,,,,,,,,,,
BRM_024,NEUTRAL,MINION,Drakonid Crusher,BRM,"Battlecry: If your opponent has 15 or less Health, gain +3/+3.",6,6,6,COMMON,True,"Drakonids were created to have all the bad parts of a dragon in the form of a humanoid. But, like, why?",['BATTLECRY'],,,DRAGON,"Unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.","Crafting unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.",,,,
OG_293f,NEUTRAL,ENCHANTMENT,Dark Guardian,OG,Increased Stats.,,,,,,,,,,,,,,,,
GVG_014a,PRIEST,ENCHANTMENT,Shadowed,GVG,Health was swapped.,,,,,,,,,,,,,,,,
BRM_020e,NEUTRAL,ENCHANTMENT,Draconic Power,BRM,Increased stats.,,,,,,,,,,,,,,,,
OG_315e,NEUTRAL,ENCHANTMENT,Reforged,OG,+1/+1.,,,,,,,,,,,,,,,,
TB_KTRAF_101,NEUTRAL,SPELL,Darkness Calls,TB,Summon two random Naxxramas bosses and trigger their Battlecries.,8,,,,,,,,,,,,,,,"['TB_KTRAF_1', 'TB_KTRAF_3', 'TB_KTRAF_4', 'TB_KTRAF_5', 'TB_KTRAF_6', 'TB_KTRAF_7', 'TB_KTRAF_8', 'TB_KTRAF_2', 'TB_KTRAF_10', 'TB_KTRAF_12', 'TB_KTRAF_11']"
EX1_304e,WARLOCK,ENCHANTMENT,Consume,EXPERT1,Increased stats.,,,,,,,,,,,,,,,,
NAX6_02H,NEUTRAL,HERO_POWER,Necrotic Aura,NAXX,"Hero Power
Deal 3 damage to the enemy hero.",0,,,,,,,,,,,,,,,
KARA_05_02heroic,NEUTRAL,WEAPON,Big Bad Claws,KARA,,2,4,,,,,,,,,,,,,2,
BRMA09_2H,NEUTRAL,HERO_POWER,Open the Gates,BRM,"Hero Power
Summon three 2/2 Whelps. Get a new Hero Power.",2,,,,,,,,,,,,,,,"['BRMA09_3H', 'BRMA09_4H']"
CRED_24,NEUTRAL,MINION,Dean Ayala,CREDITS,You can't lose stars while this is in your deck.,7,7,5,LEGENDARY,,,,,,,,,,,,
AT_047,SHAMAN,MINION,Draenei Totemcarver,TGT,Battlecry: Gain +1/+1 for each friendly Totem.,4,4,4,RARE,True,It's nice to find a real craftsman in this day and age of mass-produced totems.,['BATTLECRY'],"[100, 800, 20, 100]",,,,,,,,
DS1_070o,HUNTER,ENCHANTMENT,Master's Presence,CORE,+2/+2 and Taunt.,,,,,,,,,,,,,,,,
DS1_055,NEUTRAL,MINION,Darkscale Healer,CORE,Battlecry: Restore 2 Health to all friendly characters.,5,4,5,COMMON,True,Healing is just something she does in her free time.  It's more of a hobby really.,['BATTLECRY'],,,,,Unlocked at Priest Level 55.,,,,
DREAM_03,DREAM,MINION,Emerald Drake,EXPERT1,,4,7,6,,,,,,,DRAGON,,,,,,
NAX1_03,NEUTRAL,MINION,Nerubian,NAXX,,2,3,1,,,,,,,,,,,,,
EX1_578,DRUID,SPELL,Savagery,EXPERT1,Deal damage equal to your hero's Attack to a minion.,1,,,RARE,True,"It is true that some druids are savage, but others still enjoy a quiet moment and a spot of tea.",,"[100, 800, 20, 100]","{'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,,,,,,
GVG_030ae,DRUID,ENCHANTMENT,Attack Mode,GVG,+1 Attack.,,,,,,,,,,,,,,,,
KARA_07_07heroic,NEUTRAL,SPELL,Haywire Mech!,KARA,Summon a random Mech.,3,,,,,,,,,,,,,,,
TB_FactionWar_AnnoySpell1,NEUTRAL,SPELL,Annoy-o-Tron Fanclub,TB,Summon 3 Annoy-o-Trons,4,,,,,,,,,,,,,,,
GVG_002,MAGE,MINION,Snowchugger,GVG,Freeze any character damaged by this minion.,2,2,3,COMMON,True,"Do the slow chant when he waddles by: ""Chug! Chug! Chug!""",['FREEZE'],"[40, 400, 5, 50]",,MECHANICAL,,,,,,
TB_CoOpBossSpell_5,NEUTRAL,SPELL,Double Zap,TB,Deal Attack damage to both players.,0,,,,,,,,,,,,,,,
GVG_022b,NEUTRAL,ENCHANTMENT,Tinker's Sharpsword Oil,GVG,+3 Attack.,,,,,,,,,,,,,,,,
KARA_09_03heroic,NEUTRAL,SPELL,Many Imps!,KARA,Summon 2 Icky Imps.,2,,,,,,,,,,,,,,,
TB_Mini_1e,NEUTRAL,ENCHANTMENT,Miniature,TB,"Mini-sized, set to 1/1",,,,,,,,,,,,,,,,
XXX_040,WARRIOR,HERO,Hogger,CHEAT,,,,10,,,,,,,,,,,,,
OG_339,NEUTRAL,MINION,Skeram Cultist,OG,Battlecry: Give your C'Thun +2/+2 <i>(wherever it is).</i>,6,7,6,RARE,True,"Just before he comes into play, there is an AWESOME training montage with C'Thun.","['BATTLECRY', 'RITUAL']","[100, 800, 20, 100]",,,,,,,,
EX1_284,NEUTRAL,MINION,Azure Drake,EXPERT1,Spell Damage +1. Battlecry: Draw a card.,5,4,4,RARE,True,"They initially planned to be the Beryl or Cerulean drakes, but those felt a tad too pretentious.",['BATTLECRY'],"[100, 800, 20, 100]",,DRAGON,,,,,,
TB_CoOpv3_002,PRIEST,SPELL,Twisted Light,TB,Restore 30 health to Nefarian. Deal 30 damage to all other minions.,0,,,,,,,,,,,,,,,
CRED_23,NEUTRAL,MINION,Christopher Yim,CREDITS,"Battlecry: Your emotes are now spoken in ""Radio Voice.""",4,6,5,LEGENDARY,,,,,,,,,,,,
XXX_059,NEUTRAL,SPELL,Destroy Hero's Stuff,CHEAT,"Destroy target hero's hero power, weapon, deck, hand, minions, and secrets.",0,,,,,,,,"{'REQ_TARGET_TO_PLAY': 0, 'REQ_HERO_TARGET': 0}",,,,,,,
BRMA02_2t,NEUTRAL,MINION,Dark Iron Spectator,BRM,Taunt,1,1,1,,,,['TAUNT'],,,,,,,,,
BRMA16_3,NEUTRAL,SPELL,Sonic Breath,BRM,Deal $3 damage to a minion. Give your weapon +3 Attack.,4,,,,,,,,"{'REQ_TARGET_TO_PLAY': 0, 'REQ_WEAPON_EQUIPPED': 0, 'REQ_MINION_TARGET': 0}",,,,,,,
AT_020,WARLOCK,MINION,Fearsome Doomguard,TGT,,7,6,8,COMMON,True,"They were originally called Cuddleguards, but they were not inspiring the proper amount of fear.",,"[40, 400, 5, 50]",,DEMON,,,,,,
AT_007,MAGE,MINION,Spellslinger,TGT,Battlecry: Add a random spell to each player's hand.,3,3,4,COMMON,True,"Does he sling spells, or do his spells linger about.  Who can say?",['BATTLECRY'],"[40, 400, 5, 50]",,,,,,,,
LOE_009t,WARRIOR,MINION,Scarab,LOE,Taunt,1,1,1,,,,['TAUNT'],,,BEAST,,,,,,
BRMA05_3e,NEUTRAL,ENCHANTMENT,Living Bomb,BRM,"On Geddon's turn, deal 5 damage to all of your stuff.",,,,,,,,,,,,,,,,
